objectid,parentid,title,description,type,format,display_template,object_location,image_small,image_thumb
dcb41,,Indiana beer bottle Berghoff Brewing Assn,"Fort Wayne IN, paper label, crown top",record,image/jpg,multiple,,/objects/small/41_1_sm.jpg,/objects/thumbs/41_1_th.jpg
,dcb41,,,,,,/objects/41_1.JPG,/objects/small/41_1_sm.jpg,/objects/thumbs/41_1_th.jpg
,dcb41,,,,,,/objects/41_2.JPG,/objects/small/41_2_sm.jpg,/objects/thumbs/41_2_th.jpg
dcb42,,Indiana beer bottle Centlivre Brewing Co,"Fort Wayne IN, nickel plate label and cap",record,image/jpg,multiple,,/objects/small/42_1_sm.jpg,/objects/thumbs/42_1_th.jpg
,dcb42,,,,,,/objects/42_1.JPG,/objects/small/42_1_sm.jpg,/objects/thumbs/42_1_th.jpg
,dcb42,,,,,,/objects/42_2.JPG,/objects/small/42_2_sm.jpg,/objects/thumbs/42_2_th.jpg
dcb43,,Indiana beer bottle H. Berghoff Brewing Co,"Fort Wayne IN, pony size, chip to base rim",record,image/jpg,multiple,,/objects/small/43_1_sm.jpg,/objects/thumbs/43_1_th.jpg
,dcb43,,,,,,/objects/43_1.JPG,/objects/small/43_1_sm.jpg,/objects/thumbs/43_1_th.jpg
,dcb43,,,,,,/objects/43_2.JPG,/objects/small/43_2_sm.jpg,/objects/thumbs/43_2_th.jpg
dcb44,,"Indiana beer bottle, rare Christ Schaefer Fort",Wayne,record,image/jpg,multiple,,/objects/small/44_1_sm.jpg,/objects/thumbs/44_1_th.jpg
,dcb44,,,,,,/objects/44_1.JPG,/objects/small/44_1_sm.jpg,/objects/thumbs/44_1_th.jpg
,dcb44,,,,,,/objects/44_2.JPG,/objects/small/44_2_sm.jpg,/objects/thumbs/44_2_th.jpg
dcb45,,"Indiana beer bottle, rare Christ Schaefer Fort",Wayne,record,image/jpg,multiple,,/objects/small/45_1_sm.jpg,/objects/thumbs/45_1_th.jpg
,dcb45,,,,,,/objects/45_1.JPG,/objects/small/45_1_sm.jpg,/objects/thumbs/45_1_th.jpg
,dcb45,,,,,,/objects/45_2.JPG,/objects/small/45_2_sm.jpg,/objects/thumbs/45_2_th.jpg
dcb46,,"Indiana beer bottle rare Fort Wayne Ale House,",John Christen Ft Wayne IN,record,image/jpg,multiple,,/objects/small/46_1_sm.jpg,/objects/thumbs/46_1_th.jpg
,dcb46,,,,,,/objects/46_1.JPG,/objects/small/46_1_sm.jpg,/objects/thumbs/46_1_th.jpg
,dcb46,,,,,,/objects/46_2.JPG,/objects/small/46_2_sm.jpg,/objects/thumbs/46_2_th.jpg
dcb47,,"Indiana beer bottle rare Fort Wayne Ale House,","John Christen Ft Wayne IN, nick to top",record,image/jpg,multiple,,/objects/small/47_1_sm.jpg,/objects/thumbs/47_1_th.jpg
,dcb47,,,,,,/objects/47_1.JPG,/objects/small/47_1_sm.jpg,/objects/thumbs/47_1_th.jpg
,dcb47,,,,,,/objects/47_2.JPG,/objects/small/47_2_sm.jpg,/objects/thumbs/47_2_th.jpg
dcb48,,"Indiana beer bottle A. M. Smith Blue Line,",Elkhart IN,record,image/jpg,multiple,,/objects/small/48_1_sm.jpg,/objects/thumbs/48_1_th.jpg
,dcb48,,,,,,/objects/48_1.JPG,/objects/small/48_1_sm.jpg,/objects/thumbs/48_1_th.jpg
,dcb48,,,,,,/objects/48_2.JPG,/objects/small/48_2_sm.jpg,/objects/thumbs/48_2_th.jpg
dcb49,,"Indiana soda bottle rare crown top Sam Zweig,","Fort Wayne, Tel. 257",record,image/jpg,multiple,,/objects/small/49_1_sm.jpg,/objects/thumbs/49_1_th.jpg
,dcb49,,,,,,/objects/49_1.JPG,/objects/small/49_1_sm.jpg,/objects/thumbs/49_1_th.jpg
,dcb49,,,,,,/objects/49_2.JPG,/objects/small/49_2_sm.jpg,/objects/thumbs/49_2_th.jpg
dcb50,,"Indiana beer bottle C.L. Centlivre Fort Wayne IN,",pony size,record,image/jpg,multiple,,/objects/small/50_1_sm.jpg,/objects/thumbs/50_1_th.jpg
,dcb50,,,,,,/objects/50_1.JPG,/objects/small/50_1_sm.jpg,/objects/thumbs/50_1_th.jpg
,dcb50,,,,,,/objects/50_2.JPG,/objects/small/50_2_sm.jpg,/objects/thumbs/50_2_th.jpg
dcb51,,"Indiana beer bottle rare Auburn Bottling Works,","Frank Ufer, Auburn IN",record,image/jpg,multiple,,/objects/small/51_1_sm.jpg,/objects/thumbs/51_1_th.jpg
,dcb51,,,,,,/objects/51_1.JPG,/objects/small/51_1_sm.jpg,/objects/thumbs/51_1_th.jpg
,dcb51,,,,,,/objects/51_2.JPG,/objects/small/51_2_sm.jpg,/objects/thumbs/51_2_th.jpg
dcb52,,"Indiana beer bottle S. Rogers, Auburn IN",no description,record,image/jpg,multiple,,/objects/small/52_1_sm.jpg,/objects/thumbs/52_1_th.jpg
,dcb52,,,,,,/objects/52_1.JPG,/objects/small/52_1_sm.jpg,/objects/thumbs/52_1_th.jpg
,dcb52,,,,,,/objects/52_2.JPG,/objects/small/52_2_sm.jpg,/objects/thumbs/52_2_th.jpg
dcb53,,"Indiana beer bottle S. Rogers, Auburn IN",no description,record,image/jpg,multiple,,/objects/small/53_1_sm.jpg,/objects/thumbs/53_1_th.jpg
,dcb53,,,,,,/objects/53_1.JPG,/objects/small/53_1_sm.jpg,/objects/thumbs/53_1_th.jpg
,dcb53,,,,,,/objects/53_2.JPG,/objects/small/53_2_sm.jpg,/objects/thumbs/53_2_th.jpg
dcb54,,"Indiana ale bottle C. Wm. Arnold, South Bend IN",no description,record,image/jpg,multiple,,/objects/small/54_1_sm.jpg,/objects/thumbs/54_1_th.jpg
,dcb54,,,,,,/objects/54_1.JPG,/objects/small/54_1_sm.jpg,/objects/thumbs/54_1_th.jpg
,dcb54,,,,,,/objects/54_2.JPG,/objects/small/54_2_sm.jpg,/objects/thumbs/54_2_th.jpg
dcb55,,"Indiana beer bottle Berghoff, Fort Wayne IN amber",blob top with script lettering,record,image/jpg,multiple,,/objects/small/55_1_sm.jpg,/objects/thumbs/55_1_th.jpg
,dcb55,,,,,,/objects/55_1.JPG,/objects/small/55_1_sm.jpg,/objects/thumbs/55_1_th.jpg
,dcb55,,,,,,/objects/55_2.JPG,/objects/small/55_2_sm.jpg,/objects/thumbs/55_2_th.jpg
dcb56,,Indiana beer bottle C.L. Centlivre Brg. Co.,"Fort Wayne, champagne top",record,image/jpg,multiple,,/objects/small/56_1_sm.jpg,/objects/thumbs/56_1_th.jpg
,dcb56,,,,,,/objects/56_1.JPG,/objects/small/56_1_sm.jpg,/objects/thumbs/56_1_th.jpg
,dcb56,,,,,,/objects/56_2.JPG,/objects/small/56_2_sm.jpg,/objects/thumbs/56_2_th.jpg
